id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2539,Clean & Quiet Apt Home By The Park,2787,John,Brooklyn,Kensington,40.64749,-73.97237,Private Room,0.44610778443113774,0.0,0.014308426073131956,2018-10-19,0.21,6,365
2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,40.75362,-73.98377,Entire Home/Apt,0.6736526946107785,0.0,0.07154213036565978,2019-05-21,0.38,2,355
3647,The Village Of Harlem....New York !,4632,Elisabeth,Manhattan,Harlem,40.80902,-73.9419,Private Room,0.44910179640718567,0.20000000000000004,0.0,2019-06-23,0.72,1,365
3831,Cozy Entire Floor Of Brownstone,4869,Lisaroxanne,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire Home/Apt,0.26646706586826346,0.0,0.4292527821939587,2019-07-05,4.64,1,194
5022,Entire Apt: Spacious Studio/Loft By Central Park,7192,Laura,Manhattan,East Harlem,40.79851,-73.94399,Entire Home/Apt,0.23952095808383234,0.9,0.014308426073131956,2018-11-19,0.1,1,0
5099,Large Cozy 1 Br Apartment In Midtown East,7322,Chris,Manhattan,Murray Hill,40.74767,-73.975,Entire Home/Apt,0.5988023952095809,0.20000000000000004,0.11764705882352942,2019-06-22,0.59,1,129
5178,Large Furnished Room Near B'Way,8967,Shunichi,Manhattan,Hell'S Kitchen,40.76489,-73.98493,Private Room,0.23652694610778444,0.1,0.6836248012718601,2019-06-24,3.47,1,220
5203,Cozy Clean Guest Room - Family Apt,7490,Maryellen,Manhattan,Upper West Side,40.80178,-73.96723,Private Room,0.23652694610778444,0.1,0.1875993640699523,2017-07-21,0.99,1,0
5238,Cute & Cozy Lower East Side 1 Bdrm,7549,Ben,Manhattan,Chinatown,40.71344,-73.99037,Entire Home/Apt,0.44910179640718567,0.0,0.25437201907790147,2019-06-09,1.33,4,188
5295,Beautiful 1Br On Upper West Side,7702,Lena,Manhattan,Upper West Side,40.80316,-73.96545,Entire Home/Apt,0.4041916167664671,0.4,0.08426073131955486,2019-06-22,0.43,1,6
5441,Central Manhattan/Near Broadway,7989,Kate,Manhattan,Hell'S Kitchen,40.76076,-73.98867,Private Room,0.25449101796407186,0.1,0.2988871224165342,2019-06-23,1.5,1,39
5803,"Lovely Room 1, Garden, Best Area, Legal Rental",9744,Laurie,Brooklyn,South Slope,40.66829,-73.98779,Private Room,0.26646706586826346,0.30000000000000004,0.2655007949125596,2019-06-24,1.34,3,314
6021,Wonderful Guest Bedroom In Manhattan For Singles,11528,Claudio,Manhattan,Upper West Side,40.79826,-73.96113,Private Room,0.25449101796407186,0.1,0.1796502384737679,2019-07-05,0.91,1,333
6848,Only 2 Stops To Manhattan Studio,15991,Allen & Irina,Brooklyn,Williamsburg,40.70837,-73.95352,Entire Home/Apt,0.4191616766467066,0.1,0.23529411764705885,2019-06-29,1.2,1,46
7097,Perfect For Your Parents + Garden,17571,Jane,Brooklyn,Fort Greene,40.69169,-73.97185,Entire Home/Apt,0.6437125748502994,0.1,0.314785373608903,2019-06-28,1.72,1,321
7322,Chelsea Perfect,18946,Doti,Manhattan,Chelsea,40.74192,-73.99501,Private Room,0.4191616766467066,0.0,0.41335453100158986,2019-07-01,2.12,1,12
7726,Hip Historic Brownstone Apartment With Backyard,20950,Adam And Charity,Brooklyn,Crown Heights,40.67592,-73.94694,Entire Home/Apt,0.2964071856287425,0.20000000000000004,0.08426073131955486,2019-06-22,4.44,1,21
7750,Huge 2 Br Upper East  Cental Park,17985,Sing,Manhattan,East Harlem,40.79685,-73.94872,Entire Home/Apt,0.5688622754491018,0.6000000000000001,0.0,2019-06-23,0.72,2,249
7801,Sweet And Spacious Brooklyn Loft,21207,Chaya,Brooklyn,Williamsburg,40.71842,-73.95718,Entire Home/Apt,0.8952095808383234,0.20000000000000004,0.014308426073131956,2011-12-28,0.07,1,0
8024,Cbg Ctybgd Helpshaiti Rm#1:1-4,22486,Lisel,Brooklyn,Park Slope,40.68069,-73.97706,Private Room,0.38922155688622756,0.1,0.20667726550079493,2019-07-01,1.09,6,347
8025,Cbg Helps Haiti Room#2.5,22486,Lisel,Brooklyn,Park Slope,40.67989,-73.97798,Private Room,0.23952095808383234,0.0,0.06200317965023848,2019-01-01,0.37,6,364
8110,Cbg Helps Haiti Rm #2,22486,Lisel,Brooklyn,Park Slope,40.68001,-73.97865,Private Room,0.3293413173652695,0.1,0.11287758346581876,2019-07-02,0.61,6,304
8490,"Maison Des Sirenes1,Bohemian Apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire Home/Apt,0.3592814371257485,0.1,0.1399046104928458,2019-06-19,0.73,2,233
8505,Sunny Bedroom Across Prospect Park,25326,Gregory,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private Room,0.17964071856287425,0.0,0.030206677265500796,2019-06-23,1.37,2,85
8700,Magnifique Suite Au N De Manhattan - Vue Cloitres,26394,Claude & Sophie,Manhattan,Inwood,40.86754,-73.92639,Private Room,0.23952095808383234,0.30000000000000004,0.0,2019-06-23,0.72,1,0
9357,Midtown Pied-A-Terre,30193,Tommi,Manhattan,Hell'S Kitchen,40.76715,-73.98533,Entire Home/Apt,0.44910179640718567,0.9,0.09220985691573927,2017-08-13,0.49,1,75
9518,"Spacious, Lovely Furnished Manhattan Bedroom",31374,Shon,Manhattan,Inwood,40.86482,-73.92106,Private Room,0.1317365269461078,0.20000000000000004,0.17170111287758347,2019-06-15,1.11,3,311
9668,Front Room/Double Bed,32294,Ssameer Or Trip,Manhattan,Harlem,40.82245,-73.95104,Private Room,0.14970059880239522,0.20000000000000004,0.38473767885532595,2019-06-01,2.04,3,355
9704,Spacious 1 Bedroom In Luxe Building,32045,Teri,Manhattan,Harlem,40.81305,-73.95466,Private Room,0.15568862275449102,0.1,0.1399046104928458,2019-06-14,1.42,1,255
