Category,App_Count
FAMILY,1832
GAME,959
TOOLS,827
BUSINESS,420
MEDICAL,395
PERSONALIZATION,376
PRODUCTIVITY,374
LIFESTYLE,369
FINANCE,345
SPORTS,325
COMMUNICATION,315
HEALTH_AND_FITNESS,288
PHOTOGRAPHY,281
NEWS_AND_MAGAZINES,254
SOCIAL,239
BOOKS_AND_REFERENCE,222
TRAVEL_AND_LOCAL,219
SHOPPING,202
DATING,171
VIDEO_PLAYERS,163
MAPS_AND_NAVIGATION,131
EDUCATION,119
FOOD_AND_DRINK,112
ENTERTAINMENT,102
AUTO_AND_VEHICLES,85
LIBRARIES_AND_DEMO,84
WEATHER,79
HOUSE_AND_HOME,74
ART_AND_DESIGN,64
EVENTS,64
PARENTING,60
COMICS,56
BEAUTY,53
