Unnamed: 0,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19.0,10000,Free,0.0,Everyone,Art & Design,"January 7, 2018",1.0.0,4.0.3 and up
1,Coloring book moana,ART_AND_DESIGN,3.9,967,14.0,500000,Free,0.0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up
4,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8,100000,Free,0.0,Everyone,Art & Design;Creativity,"June 20, 2018",1.1,4.4 and up
5,Paper flowers instructions,ART_AND_DESIGN,4.4,167,5.6,50000,Free,0.0,Everyone,Art & Design,"March 26, 2017",1,2.3 and up
6,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19.0,50000,Free,0.0,Everyone,Art & Design,"April 26, 2018",1.1,4.0.3 and up
7,Infinite Painter,ART_AND_DESIGN,4.1,36815,29.0,1000000,Free,0.0,Everyone,Art & Design,"June 14, 2018",6.1.61.1,4.2 and up
8,Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33.0,1000000,Free,0.0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up
9,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3.1,10000,Free,0.0,Everyone,Art & Design;Creativity,"July 3, 2018",2.8,4.0.3 and up
10,Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28.0,1000000,Free,0.0,Everyone,Art & Design,"October 27, 2017",1.0.4,4.1 and up
11,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12.0,1000000,Free,0.0,Everyone,Art & Design,"July 31, 2018",1.0.15,4.0 and up
13,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21.0,100000,Free,0.0,Everyone,Art & Design,"June 26, 2018",1.0.4,4.4 and up
14,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37.0,100000,Free,0.0,Everyone,Art & Design,"August 3, 2018",1.2.3,2.3 and up
15,Learn To Draw Kawaii Characters,ART_AND_DESIGN,3.2,55,2.7,5000,Free,0.0,Everyone,Art & Design,"June 6, 2018",,4.2 and up
16,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5.5,500000,Free,0.0,Everyone,Art & Design,"July 31, 2018",3.1,4.1 and up
17,350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17.0,10000,Free,0.0,Everyone,Art & Design,"November 7, 2017",1,2.3 and up
20,Logo Maker - Small Business,ART_AND_DESIGN,4.0,450,14.0,100000,Free,0.0,Everyone,Art & Design,"April 20, 2018",4,4.1 and up
21,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12.0,100000,Free,0.0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up
22,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4.2,500000,Free,0.0,Everyone 10+,Art & Design,"July 12, 2018",2.2.6.2,4.0.3 and up
23,Mcqueen Coloring pages,ART_AND_DESIGN,,61,7.0,100000,Free,0.0,Everyone,Art & Design;Action & Adventure,"March 7, 2018",1.0.0,4.1 and up
24,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23.0,50000,Free,0.0,Everyone,Art & Design,"July 7, 2018",1.1.3,4.1 and up
25,Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6.0,10000,Free,0.0,Everyone,Art & Design,"April 25, 2018",1.5,3.0 and up
26,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25.0,500000,Free,0.0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up
27,Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1,100000,Free,0.0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up
28,Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4.6,10000,Free,0.0,Everyone,Art & Design,"July 12, 2018",6,2.3 and up
29,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4.2,100000,Free,0.0,Everyone,Art & Design,"August 22, 2017",1,2.3 and up
30,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9.2,100000,Free,0.0,Everyone,Art & Design,"July 12, 2018",6.7.12.2018,4.0.3 and up
31,Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2,50000,Free,0.0,Everyone,Art & Design,"May 31, 2018",1.2,2.3 and up
32,Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11.0,100000,Free,0.0,Everyone,Art & Design,"July 19, 2018",2.2,4.0 and up
33,Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11.0,100000,Free,0.0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up
34,I Creative Idea,ART_AND_DESIGN,4.7,353,4.2,10000,Free,0.0,Teen,Art & Design,"April 27, 2018",1.6,4.1 and up
35,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2,100000,Free,0.0,Everyone,Art & Design,"July 11, 2018",2.1,4.1 and up
36,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24.0,500000,Free,0.0,Everyone,Art & Design;Creativity,"August 2, 2018",1.0.9,4.4 and up
38,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11.0,10000,Free,0.0,Everyone,Art & Design,"November 29, 2017",1.3,4.0.3 and up
39,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591,9.4,500000,Free,0.0,Everyone,Art & Design,"March 31, 2018",1,4.0 and up
40,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15.0,10000,Free,0.0,Everyone,Art & Design,"July 20, 2018",2.0.1,4.0.3 and up
41,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10.0,100000,Free,0.0,Everyone,Art & Design,"April 2, 2018",1,4.0.3 and up
43,Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2,100000,Free,0.0,Everyone,Art & Design;Creativity,"April 15, 2018",1.46,4.1 and up
44,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12.0,10000,Free,0.0,Everyone,Art & Design,"January 3, 2018",1.0.0,4.1 and up
46,Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26.0,100000,Free,0.0,Everyone,Art & Design,"November 14, 2017",1.6,4.1 and up
47,Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8.0,100000,Free,0.0,Everyone,Art & Design,"December 17, 2017",2.0.0,4.1 and up
48,How To Draw Food,ART_AND_DESIGN,4.3,845,7.9,100000,Free,0.0,Everyone,Art & Design,"May 28, 2018",1,2.3 and up
49,Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25.0,100000,Free,0.0,Everyone,Auto & Vehicles,"May 10, 2018",1,4.0.3 and up
50,Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",11,4.1 and up
53,American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",3,4.1 and up
54,Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 31, 2018",4,4.1 and up
55,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 18, 2018",1.7.1,4.0 and up
56,Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6,50000,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",2.5.1,4.4 and up
57,Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",3,4.1 and up
58,Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,0.2,100000,Free,0.0,Everyone,Auto & Vehicles,"August 26, 2014",1.0.1,2.2 and up
59,"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6,100000,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",2.493,4.4 and up
60,CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7,10000,Free,0.0,Everyone,Auto & Vehicles,"July 8, 2018",1.9.1,4.0.3 and up
61,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up
62,"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 28, 2018",2.20 Build 02,4.1 and up
63,Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,100000,Free,0.0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up
64,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up
65,Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7,10000,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",0.2.1,4.4 and up
66,Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2.5,50000,Free,0.0,Everyone,Auto & Vehicles,"October 14, 2016",1,2.3 and up
71,SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16.0,500000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",2.2.21,4.2 and up
74,Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17.0,500000,Free,0.0,Everyone,Auto & Vehicles,"July 27, 2018",1.79,4.0 and up
75,Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4,50000,Free,0.0,Everyone,Auto & Vehicles,"June 14, 2018",1.3,4.0 and up
76,"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9,100000,Free,0.0,Everyone,Auto & Vehicles,"June 8, 2018",2.3.5.1,4.1 and up
77,Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9,1000000,Free,0.0,Everyone 10+,Auto & Vehicles,"July 4, 2018",1.6,4.0 and up
78,Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000,Free,0.0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up
79,Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 15, 2018",8.31,4.1 and up
80,Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32.0,50000,Free,0.0,Everyone,Auto & Vehicles,"July 24, 2018",1.1.5.0,6.0 and up
81,PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 27, 2018",10.0.2,4.2 and up
82,Supervision service,AUTO_AND_VEHICLES,4.0,2155,15.0,500000,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",1.10.3,5.0 and up
83,Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5.4,100000,Free,0.0,Everyone,Auto & Vehicles,"July 23, 2018",1,4.0.3 and up
84,Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 23, 2018",3.20.1,4.4 and up
86,BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up
87,RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1,100000,Free,0.0,Everyone,Auto & Vehicles,"April 27, 2018",1.4,4.0.3 and up
90,SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9,100000,Free,0.0,Everyone,Auto & Vehicles,"May 16, 2018",2.8.2,4.1 and up
91,SKencar,AUTO_AND_VEHICLES,3.7,4806,35.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 31, 2018",4.0.3,4.0.3 and up
93,auto fines,AUTO_AND_VEHICLES,4.6,31433,17.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",1.4,4.0.3 and up
94,"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 23, 2018",1.5.18,4.0.3 and up
95,All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754,14.0,500000,Free,0.0,Everyone,Auto & Vehicles,"June 2, 2018",2.3.4,4.0 and up
96,Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2,500000,Free,0.0,Everyone,Auto & Vehicles,"March 20, 2018",1.03,4.0.3 and up
97,Gas Station,AUTO_AND_VEHICLES,4.0,1288,4.5,100000,Free,0.0,Everyone,Auto & Vehicles,"April 21, 2018",2.17,4.0 and up
98,Hush - Beauty for Everyone,BEAUTY,4.7,18900,17.0,500000,Free,0.0,Everyone,Beauty,"August 2, 2018",6.10.1,5.0 and up
99,"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14.0,1000000,Free,0.0,Everyone,Beauty,"November 9, 2017",2.3.0,4.1 and up
100,Natural recipes for your beauty,BEAUTY,4.7,1150,9.8,100000,Free,0.0,Everyone,Beauty,"May 15, 2018",4,4.1 and up
101,"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21.0,500000,Free,0.0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up
103,Beauty Selfie Camera,BEAUTY,4.2,2225,52.0,500000,Free,0.0,Everyone,Beauty,"February 28, 2018",1.6,4.1 and up
104,Hairstyles step by step,BEAUTY,4.6,4369,14.0,100000,Free,0.0,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up
105,Filters for Selfie,BEAUTY,4.3,8572,25.0,1000000,Free,0.0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up
106,Tie - Always be happy,BEAUTY,4.7,964,9.0,50000,Free,0.0,Everyone,Beauty,"June 21, 2018",4,4.2 and up
108,Prom MakeUp Tutorial,BEAUTY,4.8,104,12.0,10000,Free,0.0,Everyone,Beauty,"June 26, 2018",1.3,4.0.3 and up
110,Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35.0,100000,Free,0.0,Everyone,Beauty,"June 2, 2018",2.0.0,4.0 and up
